sound_obj::sub_4182A0,0x4182a0,0x182a0,0x39
sound_obj::sub_4182E0,0x4182e0,0x182e0,0x2ab
nullsub_59,0x4185c0,0x185c0,0x1
nullsub_60,0x418600,0x18600,0x1
sound_obj::sub_418610,0x418610,0x18610,0xbb
sound_obj::sub_4186D0,0x4186d0,0x186d0,0x4d
sound_obj::sub_418720,0x418720,0x18720,0x21c
sound_obj::sub_418940,0x418940,0x18940,0x1fa
sound_obj::ProcessType11_418B60,0x418b60,0x18b60,0xbb
sound_obj::sub_418C20,0x418c20,0x18c20,0x35
sound_obj::sub_418C60,0x418c60,0x18c60,0x1f
sound_obj::sub_418C80,0x418c80,0x18c80,0x1c
sound_obj::ProcessType10_418CA0,0x418ca0,0x18ca0,0x27c
sound_obj::CalculateDistance_419020,0x419020,0x19020,0x46
sound_obj::VolCalc_419070,0x419070,0x19070,0x34
sound_obj::sub_4190B0,0x4190b0,0x190b0,0x57
nullsub_61,0x419a90,0x19a90,0x1
nullsub_62,0x419ae0,0x19ae0,0x1
sub_419DF0,0x419df0,0x19df0,0x3
sound_obj::AddSoundObject_419FA0,0x419fa0,0x19fa0,0xe4
sound_obj::FreeSoundEntry_41A090,0x41a090,0x1a090,0x114
sound_obj::LoadStyle_41A1B0,0x41a1b0,0x1a1b0,0x22
sound_obj::GetFileName_41A1E0,0x41a1e0,0x1a1e0,0x6f
sound_obj::SetSfxVol_41A250,0x41a250,0x1a250,0xa
sound_obj::SetCDVol_41A270,0x41a270,0x1a270,0xa
sound_obj::Set3DSound_41A2F0,0x41a2f0,0x1a2f0,0x96
sound_obj::ServiceSoundEffects_41A3A0,0x41a3a0,0x1a3a0,0x44
sound_obj::CalcVolume_41A3F0,0x41a3f0,0x1a3f0,0x86
sound_obj::sub_41A4A0,0x41a4a0,0x1a4a0,0xb2
sound_obj::sub_41A580,0x41a580,0x1a580,0xcd
sound_obj::RandomDisplacement_41A650,0x41a650,0x1a650,0x67
sound_obj::ResetEntry_41A6C0,0x41a6c0,0x1a6c0,0x2d
sound_obj::sub_41A6F0,0x41a6f0,0x1a6f0,0x40
sound_obj::InterrogateAudioEntities_41A730,0x41a730,0x1a730,0x11e
sound_obj::AddSampleToRequestedQueue_41A850,0x41a850,0x1a850,0xb2
sound_obj::AddDetailsToRequestedOrderList_41A910,0x41a910,0x1a910,0xbd
sound_obj::AddReleasingSounds_41A9D0,0x41a9d0,0x1a9d0,0x1a6
sound_obj::ProcessActiveQueues_41AB80,0x41ab80,0x1ab80,0x8f1
